Hero Name 1,Hero Name 2,Similarity (%),Sources for Hero 1,Sources for Hero 2
KRAVEN THE HUNTER II,KRAVEN THE HUNTER/SE,85.0,"edges_df, nodes_df","edges_df, nodes_df"
"MENGOCHAUZERAUS, GRI","MENGOCHAUZERAUS, STA",85.0,"edges_df, nodes_df","edges_df, nodes_df"
"RICHARDS, REED | EAR","RICHARDS, REED | MUT",85.0,"edges_df, nodes_df","edges_df, nodes_df"
"WEISENTHAL, DR. JACO","WEISENTHAL, DR. JONA",85.0,"edges_df, nodes_df","edges_df, nodes_df"
BASILISK II,BASILISK III/,84.6,"edges_df, nodes_df","edges_df, nodes_df"
BLACK RAZER,BLACK RAAZER/,84.6,"edges_df, nodes_df","edges_df, nodes_df"
EXECUTIONER,EXECUTIONER V,84.6,"edges_df, nodes_df","edges_df, nodes_df"
BLACK RACER/,BLACK RAAZER/,84.6,"edges_df, nodes_df","edges_df, nodes_df"
"CHALMERS, MR.","CHAMBERS, MR.",84.6,"edges_df, nodes_df","edges_df, nodes_df"
ASHEMA [CELESTIAL],ARISHEM [CELESTIAL],84.2,"edges_df, nodes_df","edges_df, nodes_df"
THING DOPPELGANGER,THANOS DOPPELGANGER,84.2,"edges_df, nodes_df","edges_df, nodes_df"
ANTRO,ANTORO,83.3,"edges_df, nodes_df","edges_df, nodes_df"
BAKER,BARKER,83.3,"edges_df, nodes_df","edges_df, nodes_df"
CYLLA,SCYLLA,83.3,"edges_df, nodes_df","edges_df, nodes_df"
KATAR,KATHAR,83.3,"edges_df, nodes_df","edges_df, nodes_df"
LOCUS,LOCUST,83.3,"edges_df, nodes_df","edges_df, nodes_df"
MAGOG,MANGOG,83.3,"edges_df, nodes_df","edges_df, nodes_df"
MAGUS,MAGNUS,83.3,"edges_df, nodes_df","edges_df, nodes_df"
RAGAR,KRAGAR,83.3,"edges_df, nodes_df","edges_df, nodes_df"
SPIKE,SPIKEY,83.3,"edges_df, nodes_df","edges_df, nodes_df"
THERA,THERAK,83.3,"edges_df, nodes_df","edges_df, nodes_df"
TRION,TRITON,83.3,"edges_df, nodes_df","edges_df, nodes_df"
TYRAK,STYRAK,83.3,"edges_df, nodes_df","edges_df, nodes_df"
XANDU,XIANDU,83.3,"edges_df, nodes_df","edges_df, nodes_df"
BIANDU,XIANDU,83.3,"edges_df, nodes_df","edges_df, nodes_df"
BLADE/,BLARE/,83.3,"edges_df, nodes_df","edges_df, nodes_df"
BLARE/,FLARE/,83.3,"edges_df, nodes_df","edges_df, nodes_df"
CANDRA,KANDRA,83.3,"edges_df, nodes_df","edges_df, nodes_df"
CAT II,CAT IV,83.3,"edges_df, nodes_df","edges_df, nodes_df"
DOMINA,DOMINO,83.3,"edges_df, nodes_df","edges_df, nodes_df"
FENRIS,FERRIS,83.3,"edges_df, nodes_df","edges_df, nodes_df"
GANTRY,GENTRY,83.3,"edges_df, nodes_df","edges_df, nodes_df"
GREASE,GREASY,83.3,"edges_df, nodes_df","edges_df, nodes_df"
HECTOR,VECTOR,83.3,"edges_df, nodes_df","edges_df, nodes_df"
HEDRON,HYDRON,83.3,"edges_df, nodes_df","edges_df, nodes_df"
HUNGER,HUNGYR,83.3,"edges_df, nodes_df","edges_df, nodes_df"
LEESHA,SEESHA,83.3,"edges_df, nodes_df","edges_df, nodes_df"
MAGNIR,MAGNOR,83.3,"edges_df, nodes_df","edges_df, nodes_df"
MERLIN,MERLYN,83.3,"edges_df, nodes_df","edges_df, nodes_df"
MIDGET,WIDGET,83.3,"edges_df, nodes_df","edges_df, nodes_df"
NEBULA,NEBULO,83.3,"edges_df, nodes_df","edges_df, nodes_df"
N'GAMI,N'GAMO,83.3,"edges_df, nodes_df","edges_df, nodes_df"
THAKOS,THANOS,83.3,"edges_df, nodes_df","edges_df, nodes_df"
TRACER,TRADER,83.3,"edges_df, nodes_df","edges_df, nodes_df"
ULTIMA,ULTIMO,83.3,"edges_df, nodes_df","edges_df, nodes_df"
VIRAGO,VIRAKO,83.3,"edges_df, nodes_df","edges_df, nodes_df"
MERCURY II,MERCURY III/,83.3,"edges_df, nodes_df","edges_df, nodes_df"
BLACK RAZER,BLACK RACER/,83.3,"edges_df, nodes_df","edges_df, nodes_df"
"CARTER, TAD","CARTER, BRAD",83.3,"edges_df, nodes_df","edges_df, nodes_df"
GUARDIAN IV,GUARDIAN III,83.3,"edges_df, nodes_df","edges_df, nodes_df"
LEVIATHAN IV,LEVIATHAN VI,83.3,"edges_df, nodes_df","edges_df, nodes_df"
"SEWARD, ANNE","SEWARD, JANE",83.3,"edges_df, nodes_df","edges_df, nodes_df"
SMOKESCREAM/,SMOKESCREEN/,83.3,"edges_df, nodes_df","edges_df, nodes_df"
"WINGFOOT, WYATT","WINGFOOT, WYATT II",83.3,"edges_df, nodes_df","edges_df, nodes_df"
ARES [GREEK GOD],HERMES [GREEK GOD],83.3,"edges_df, nodes_df","edges_df, nodes_df"
DEATHCRY [SHI'AR],DEATHBIRD [SHI'AR],83.3,"edges_df, nodes_df","edges_df, nodes_df"
HODER [ASGARDIAN],BALDER [ASGARDIAN],83.3,"edges_df, nodes_df","edges_df, nodes_df"
"CARTER, SHARON","CARTER, SHARON II",82.4,"edges_df, nodes_df","edges_df, nodes_df"
COLLECTIVE MAN,COLLECTIVE MAN II,82.4,"edges_df, nodes_df","edges_df, nodes_df"
"MCKENZIE, LEON","MCKENZIE, LEONARD",82.4,"edges_df, nodes_df","edges_df, nodes_df"
MADAME MASQUE V,MADAME MASQUE II/,82.4,"edges_df, nodes_df","edges_df, nodes_df"
MADAME MASQUE V,MADAME MASQUE III,82.4,"edges_df, nodes_df","edges_df, nodes_df"
HELA [ASGARDIAN],HILDY [ASGARDIAN],82.4,"edges_df, nodes_df","edges_df, nodes_df"
KALIN KARTH KITH,KINLAN KARTH KITH,82.4,"edges_df, nodes_df","edges_df, nodes_df"
ODIN [ASGARDIAN],HODER [ASGARDIAN],82.4,"edges_df, nodes_df","edges_df, nodes_df"
ODIN [ASGARDIAN],HOGUN [ASGARDIAN],82.4,"edges_df, nodes_df","edges_df, nodes_df"
"ROBERTSON, RANDY","ROBERTSON, AMANDA",82.4,"edges_df, nodes_df","edges_df, nodes_df"
HODER [ASGARDIAN],HOGUN [ASGARDIAN],82.4,"edges_df, nodes_df","edges_df, nodes_df"
LEVIATHAN,LEVIATHAN V,81.8,"edges_df, nodes_df","edges_df, nodes_df"
RAMROD II,RAMROD III/,81.8,"edges_df, nodes_df","edges_df, nodes_df"
RAZORWIRE,RAZOR WIRE/,81.8,"edges_df, nodes_df","edges_df, nodes_df"
FIREFLY II,FIREFALL II,81.8,"edges_df, nodes_df","edges_df, nodes_df"
SLASHER II,SMASHER III,81.8,"edges_df, nodes_df","edges_df, nodes_df"
SMASHER IV,SMASHER III,81.8,"edges_df, nodes_df","edges_df, nodes_df"
STINGER IV,STINGER II/,81.8,"edges_df, nodes_df","edges_df, nodes_df"
"CHAN, SARAH","SHAW, SARAH",81.8,"edges_df, nodes_df","edges_df, nodes_df"
ATOM SMASHER/,ATOM SMASHER II/,81.2,"edges_df, nodes_df","edges_df, nodes_df"
"WING, PROFESSOR","WHITE, PROFESSOR",81.2,"edges_df, nodes_df","edges_df, nodes_df"
CYRA [ASGARDIAN],HELA [ASGARDIAN],81.2,"edges_df, nodes_df","edges_df, nodes_df"
KOFI [KYMELLIAN],ZOOG [KYMELLIAN],81.2,"edges_df, nodes_df","edges_df, nodes_df"
LOKI [ASGARDIAN],ODIN [ASGARDIAN],81.2,"edges_df, nodes_df","edges_df, nodes_df"
"MARTINEZ, AKASHA","MARTINEZ, ALITHA",81.2,"edges_df, nodes_df","edges_df, nodes_df"
"THOMAS, DR. JOHN","THOMAS, DR. STAN",81.2,"edges_df, nodes_df","edges_df, nodes_df"
ARIA,ADRIA,80.0,"edges_df, nodes_df","edges_df, nodes_df"
ARIA,DARIA,80.0,"edges_df, nodes_df","edges_df, nodes_df"
ARKO,ARKON,80.0,"edges_df, nodes_df","edges_df, nodes_df"
CHAR,CHARM,80.0,"edges_df, nodes_df","edges_df, nodes_df"
